iterations,MSE_new,converged,alpha,conv_threshold,max_iter,Dataset
469,22108.93,Yes,0.01,1.00E-01,10000,Train
721,22100.81,Yes,0.01,1.00E-02,10000,Train
1405,22098.39,Yes,0.01,1.00E-03,10000,Train
2417,22098.01,Yes,0.01,1.00E-04,10000,Train
10000,22097.78,No,0.01,1.00E-05,10000,Train
3363,22159.36,Yes,0.001,1.00E-01,10000,Train
4689,22108.73,Yes,0.001,1.00E-02,10000,Train
7366,22100.82,Yes,0.001,1.00E-03,10000,Train
10000,22099.2,No,0.001,1.00E-04,10000,Train
10000,22099.17,No,0.001,1.00E-05,10000,Train
72,22100.67,Yes,0.1,1.00E-01,10000,Train
141,22098.37,Yes,0.1,1.00E-02,10000,Train
244,22098.01,Yes,0.1,1.00E-03,10000,Train
1001,22097.78,Yes,0.1,1.00E-04,10000,Train
1995,22097.79,Yes,0.1,1.00E-05,10000,Train
34,22098.99,Yes,0.3,1.00E-01,10000,Train
60,22098.1,Yes,0.3,1.00E-02,10000,Train
174,22097.87,Yes,0.3,1.00E-03,10000,Train
474,22097.75,yes,0.3,1.00E-04,10000,Train
339,22097.74,Yes,0.5,1.00E-04,10000,Train
514,22097.74,Yes,0.5,1.00E-05,10000,Train
704,22097.74,Yes,0.5,1.00E-06,10000,Train
280,22097.74,Yes,0.6,1.00E-04,10000,Train
259,22097.74,Yes,0.7,1.00E-04,10000,Train
277,22097.74,Yes,0.8,1.00E-04,10000,Train
